SampleID,Additive noise model AB,Additive noise model BA
train3266,0.804456575958,0.331668951399
train3267,0.622454885362,0.830805591008
train3264,0.47683168748,0.733227456182
train3265,0.903798400549,0.269414896591
train3262,0.781622492195,0.252095668125
train3263,6.84995631648e-15,0.354328464588
train3260,0.662150460672,0.892611246261
train3261,0.810028727195,0.0226278856126
train6085,0.815245398596,0.726599382245
train6084,0.899762115412,1.47773346638e-05
train6087,0.00291547729916,0.468368642962
train6086,0.00768910334528,0.561144398262
train6081,0.197158174477,0.0166327307641
train6080,0.0563885506106,0.810698228624
train3268,0.500685039447,0.10356374088
train3269,0.578406492862,0.737118134278
valid2593,0.426305823486,0.728373418712
train2799,1.09758195314e-08,8.54396371193e-34
train2798,0.270554785538,0.234924983105
valid2592,0.906235309976,0.665257705732
train2795,0.239929162318,0.657881694337
train2794,0.603917784289,0.81785497048
train2797,0.6190862331,0.598346711851
train2796,0.304659170025,0.350427840699
train2791,0.451866634193,0.804126371463
train2790,0.168871693655,0.601139770341
train2793,0.521906120528,0.845525629519
train2792,0.139071629056,0.891143663302
valid2590,0.179622728818,0.279804089258
valid2597,0.944348524076,0.268081883437
valid2596,0.674996287814,0.129119345384
valid2595,0.25490083085,0.0946461826834
valid2594,0.615627439366,0.483864953558
train6083,0.523249574481,0.826294396011
train6082,0.493068301387,0.890214443923
train1686,0.736194832997,0.464270899881
train1687,0.410196352629,0.0913856713594
train1684,0.512458141064,0.341554111017
train1685,0.65260425438,0.475881519575
train1682,0.332799859169,0.8414875959
train1683,1.923325585e-40,0.000607703129448
train1680,0.568348046899,0.583572298236
train1681,0.360236987799,0.813219559704
train1688,9.11535988415e-18,0.173108803202
train1689,0.884648769794,0.521912795645
train32148,0.407476484388,0.220370715976
train32149,0.339169587098,0.0671968657221
train32144,0.812844622416,0.631572384204
train32145,0.127067350694,0.237347663761
train32146,3.44374221182e-30,4.39148869351e-49
train32147,0.512604427613,0.953574607447
train32140,0.306272990337,0.240720371567
train32141,0.619587303017,0.357154097188
train32142,0.580418847601,0.184281180791
train32143,0.489261194022,0.555418687496
train2139,0.296392637588,0.833113459801
train2138,0.786030863795,0.865009210973
train2131,0.0568928489473,0.355970876413
train2130,0.909531726438,5.07353622888e-07
train2133,0.284444810047,0.258324664553
train2132,0.44038074727,0.940388725392
train2135,0.00170995685662,0.302909582037
train2134,0.622112441451,0.794648036639
train2137,4.38383924246e-09,0.297434772051
train2136,0.566869451108,0.73338888763
train30436,0.858882423468,0.986797148983
train30437,0.191481839667,0.696070662428
train30434,0.488978069736,0.874393775161
train30435,0.752949738511,0.000407930984953
train1538,2.8373479491e-61,0.698260855825
train1539,0.357594839681,0.352449022893
train30430,0.166673551237,nan
train30431,0.679722383323,0.832658682703
train1534,0.339025518125,0.392666712073
train1535,0.721299801151,0.360599687958
train1536,0.431517991011,0.87242532871
train1537,0.0519777396587,0.524179628201
train1530,0.0831239631989,0.939398593384
train1531,0.0252896164365,0.897044426492
train1532,0.863885132314,0.907272027866
train1533,0.505154920396,0.590574166096
train7561,0.504516517418,0.502309415363
train7560,0.957395714935,0.128652062728
train7563,0.795790377162,0.919458812514
train7562,0.620656851864,0.789032716888
train7565,0.2028885722,0.701502236257
train7564,0.725684234504,0.735386046153
train7567,0.470080004083,0.0740339106277
train7566,0.748667686415,0.627076627401
train7569,0.841711267525,0.904487846278
train7568,0.595659023481,0.581887614583
valid3125,0.439870558531,0.571120364731
valid3124,nan,0.881486944542
valid3127,0.937037319173,5.19134658819e-08
valid3126,nan,7.34885135791e-69
valid3121,0.556589080152,0.981294671593
valid3120,0.943046177907,0.759114080053
valid3123,0.640436246143,0.833172374668
valid3122,0.764632293374,0.206333432374
valid3129,0.262444470245,0.400007073183
valid3128,7.5769089064e-08,4.1469851079e-26
valid2838,0.00600118211129,0.00616094187319
valid2839,3.04986583901e-12,0.000265978568024
train15008,0.0790474122834,0.848336357439
train15009,0.361887186425,0.493304597086
train15006,0.658261612656,0.000982664535179
train15007,0.423029796625,0.0313828267153
train15004,0.873281157069,0.336510298696
train15005,0.364466968876,0.191091648732
train15002,2.03653822327e-37,0.848778216042
train15003,0.670881742849,0.442583221036
train15000,0.259418581217,0.142531364822
train15001,0.216448315956,0.207276434345
train11671,0.846494664817,1.14788717303e-133
train11670,0.00944026408638,0.54083435509
train11673,4.2165709871e-48,0.332224421126
train11672,0.207520727562,0.853840465283
train27195,0.622193917337,0.953787131146
train27194,0.038966594139,0.316350550449
train27197,0.682552431313,0.538287262353
train27196,0.723301591979,0.855764961254
train27191,0.694190279638,0.522754240265
train27190,0.869451586409,0.216696005183
train27193,0.47984334165,0.465131907457
train27192,6.80561805435e-70,0.160350384082
train16726,0.29517168838,0.19070647902
train16727,0.807784769418,0.566952457138
train16724,0.800706047083,0.402869258882
train16725,0.835645733022,9.75066691637e-13
train16722,0.480062030248,0.281125732857
train16723,0.342644049001,0.680619926156
train16720,0.128067113352,0.523661980975
train16721,0.687453432994,0.337412658406
train328,0.00254754870607,2.68272842368e-05
train26828,0.70784028682,0.657361978405
train26829,0.582614704039,0.346206193825
train26826,1.33900090925e-77,0.416864960067
train26827,0.871950952088,0.805232730803
train26824,0.489598413586,0.619189375562
train26825,0.826716492965,0.362830087354
train26822,0.84457788075,0.344614092654
train26823,0.289556962492,0.939247678882
train26820,7.84159971145e-42,0.248822146305
train26821,0.499360781584,0.769324236738
train136,7.91576604078e-05,0.301161344627
train137,0.0715260260159,0.948816197067
train134,4.31256584261e-127,1.55926210132e-41
train135,0.904396704182,0.707376234638
train132,0.430634193436,0.511035108709
train133,0.664698288297,0.516332100953
train130,0.273265790378,0.636381695041
train131,nan,1.01501584114e-16
train138,0.837545319866,0.782452612527
train139,1.48172004048e-49,5.04633237013e-24
train27449,0.833776379719,0.525119812088
train27448,0.455813759502,0.712675976582
train27447,0.324568820244,0.0472654820081
train27446,0.0126257668287,0.727019962855
train27445,0.172895369811,0.525891606036
train27444,0.886194344316,0.075533628165
train27443,0.154574896796,0.943336634307
train27442,0.608803231919,0.311938914511
train27441,0.7893028551,0.0219435087216
train27440,0.843159431458,0.586679429705
train320,0.0217826259198,0.451597621709
train20877,0.525107180933,0.835462160487
train20876,0.546856838357,3.72717727029e-58
train20875,0.116645242406,0.6134795286
train20874,0.0761539653664,0.0546954771046
train20873,0.410093173929,0.311876344596
train20872,0.146921279369,0.547831580413
train20871,0.36164860808,0.00218119111437
train20870,3.63848026022e-25,0.86484585075
train20879,0.289372874661,0.646683053936
train20878,0.673600528108,0.683085157437
train18381,0.374094725971,0.708132565279
train17099,0.565711050625,0.773257315297
train17098,0.0651133990753,5.42078839546e-05
train17097,0.932809020566,0.216883118655
train13777,0.300881740171,5.36737163989e-06
