SampleID,Auto PIT 20 10 1,Auto PIT 20 10 2,Auto PIT 20 10 3,Auto PIT 20 10 4,Auto PIT 20 10 5,Auto PIT 20 10 6,Auto PIT 20 10 7,Auto PIT 20 10 8,Auto PIT 20 10 9,Auto PIT 20 10 10
train1,-2.6744,-1.264,2.6995,-0.6455,-1.7242,2.9277,0.15231,1.9198,-0.4379,0.52763
train2,-2.3531,-1.4885,2.3329,-0.53632,-2.0231,3.212,0.12842,1.7851,-0.71317,0.51416
train3,-2.4183,-1.7138,2.2689,-0.64585,-2.0077,3.0347,0.23408,1.568,-0.75523,0.37315
train4,-2.6634,-1.2938,2.3988,-0.42544,-1.9314,2.9162,0.17326,1.6421,-0.57397,0.46521
train5,-2.5774,-1.4433,2.469,-0.58609,-1.8939,3.0197,0.19119,1.7291,-0.72075,0.49349
train6,-2.8124,-1.3395,2.6219,-0.74098,-1.7289,3.0182,0.17109,1.6893,-0.90679,0.54135
train7,-2.7447,-1.4793,2.4976,-0.66039,-1.8673,3.0843,0.2883,1.7402,-0.90777,0.55141
train8,-2.3028,-1.282,2.6236,-0.57627,-1.8952,3.0881,0.0596,1.845,-0.62502,0.2823
train9,-2.6418,-1.0865,2.4131,-0.34725,-2.0301,2.9603,0.35409,1.5015,-0.63011,0.47585
train10,-2.5148,-1.4542,2.3062,-0.37887,-1.9029,3.0049,0.13554,1.7557,-0.5874,0.38626
train11,-2.4076,-1.8332,2.4349,-0.78288,-2.0541,3.0323,0.37283,1.4747,-0.94383,0.59441
train12,-2.589,-1.6121,2.3673,-0.53581,-1.8466,3.1093,0.063117,1.7655,-0.70057,0.4894
train13,-2.627,-1.4305,2.5276,-0.61772,-1.8342,2.9967,0.23522,1.775,-0.67861,0.51266
train14,-2.6346,-1.2549,2.5136,-0.28024,-1.9285,2.97,0.18749,1.7634,-0.75036,0.44355
train15,-2.5841,-1.4758,2.4464,-0.605,-1.918,3.0092,0.2131,1.7665,-0.7879,0.53155
train16,-2.6004,-1.4042,2.319,-0.69406,-1.9157,2.8451,0.33493,1.7757,-0.73803,0.35023
train17,-2.459,-1.4288,2.5324,-0.5923,-1.9137,3.0939,0.16364,1.8114,-0.68544,0.50985
train18,-2.5627,-1.4803,2.5099,-0.62815,-1.8851,3.047,0.18781,1.7484,-0.75608,0.5243
train19,-2.7376,-1.2461,2.7322,-0.69379,-1.6344,2.9849,0.18437,1.8885,-0.42472,0.54004
train20,-2.4787,-1.499,2.3457,-0.31813,-2.1331,2.8317,-0.0079787,1.6538,-1.0533,0.29135
train21,-2.6802,-1.8189,2.3535,-0.78314,-1.9384,3.0446,0.639,1.4132,-0.76737,0.50127
train22,-2.5182,-1.478,2.5124,-0.54768,-1.9746,2.8993,0.29731,1.6878,-0.74597,0.39896
train23,-2.6028,-1.5057,2.3198,-0.60836,-1.9878,2.8779,0.38598,1.835,-0.81611,0.43999
train24,-2.5644,-1.474,2.4421,-0.5857,-1.9039,3.0534,0.16429,1.7361,-0.73621,0.50921
train25,-2.6806,-1.353,2.5259,-0.30206,-1.8463,2.9743,0.088687,1.6351,-0.8863,0.31171
train26,-2.6044,-1.3753,2.4893,-0.52685,-1.94,2.9547,0.24116,1.6942,-0.81609,0.50652
train27,-2.5932,-1.6587,2.5762,-0.60756,-1.8753,2.8733,0.11527,1.784,-0.89331,0.42243
train28,-2.5031,-1.6284,2.4908,-0.7046,-1.9505,3.0655,0.26761,1.4215,-0.86212,0.50815
train29,-2.6167,-1.7607,2.4421,-0.53621,-1.8195,3.0304,0.16257,1.7048,-0.72744,0.51656
train30,-2.776,-1.4991,2.6407,-0.39041,-1.8216,2.9549,0.12468,1.6348,-0.80247,0.55018
train31,-2.5956,-1.4422,2.4564,-0.53063,-1.8824,3.0886,0.18259,1.7564,-0.756,0.48624
train32,-2.5937,-1.431,2.4162,-0.35921,-2.0605,2.7563,0.34095,1.7349,-0.76473,0.42052
train33,-2.8513,-0.85428,2.203,-0.19025,-1.9323,3.1147,0.098786,1.8467,-0.5044,0.6795
train34,-2.6137,-1.4313,2.5143,-0.27882,-1.6611,3.6095,0.11751,1.6899,-0.78968,0.22939
train35,-2.5741,-1.3324,2.3579,-0.67158,-1.9403,2.9489,0.23853,1.8118,-0.7826,0.49925
train36,-2.634,-1.4285,2.4595,-0.43323,-1.783,3.1048,-0.029308,1.4618,-0.57919,0.37988
train37,-2.6195,-1.5097,2.4169,-0.68869,-1.951,2.8646,0.2781,1.5842,-0.68568,0.47925
