1,-0.79063,0.17918,4.4393,0.4766,-0.58802,1.4141,-0.67286,0.45173,-1.6998,0.74877
1,-0.57375,0.5529,4.399,0.50626,-0.59498,1.5918,-0.57532,0.95194,-1.6746,0.74974
1,-0.67141,0.26463,4.3231,0.4366,-0.50188,1.6979,-0.37098,0.92774,-1.4091,0.67751
0,-0.6572,0.33139,4.3131,0.48587,-0.64743,1.6067,-0.59548,0.94271,-1.3207,0.71379
1,-0.62818,0.42622,4.5851,0.23298,-0.42821,1.2802,-0.70957,0.90163,-1.1084,0.55083
0,-0.42398,0.32307,4.3115,0.47787,-0.50454,1.5293,-0.66471,1.0066,-1.0396,0.84937
0,-0.59403,-0.012875,4.4096,0.32607,-0.8082,1.4932,-0.85913,0.95629,-1.6368,0.66993
0,-0.64911,0.07037,4.309,0.30539,-0.38936,1.8207,-0.3629,0.71954,-1.5115,0.66737
0,-0.72799,0.20708,4.1711,0.99076,-0.38585,1.4991,-0.13968,1.0394,-1.0445,0.78256
0,-0.78594,0.71775,4.33,0.27994,-0.67845,1.7255,-0.86543,0.4698,-1.6014,0.78961
0,-0.71254,0.47193,4.3525,0.59329,-0.59233,1.3739,-0.52756,1.0345,-1.3311,0.84931
0,-0.78549,0.30809,4.2828,0.48972,-0.66821,1.631,-0.61637,0.94356,-1.3104,0.66519
1,-0.75829,0.092391,4.2841,0.42434,-0.48135,1.625,-0.62853,0.7895,-1.5752,0.70588
0,-0.68434,0.35989,4.3257,0.54276,-0.60535,1.5893,-0.59529,0.81911,-1.3001,0.68771
0,-0.58776,0.33725,4.4252,0.56949,-0.54276,1.6047,-0.60433,0.93599,-1.4875,0.54942
0,-0.67454,0.20287,4.3441,0.4374,-0.71123,1.5454,-0.68415,0.80691,-1.4282,0.74267
0,-0.6479,0.35851,4.3325,0.45051,-0.68637,1.5602,-0.67123,0.87803,-1.2927,0.75064
0,-0.89056,0.1985,4.3662,0.35204,-0.79259,1.5256,-0.57158,1.0665,-1.1939,0.53368
0,-1.0458,0.28098,4.4063,0.53459,-0.070546,1.3255,-0.78693,0.63803,-2.0317,0.75289
0,-0.85849,0.70629,4.3447,0.24955,-0.62783,1.8651,-0.60599,0.7876,-1.8383,0.59079
0,-0.70598,0.25168,4.3812,0.2985,-0.66539,1.6891,-0.76472,0.84604,-1.6769,0.58734
0,-0.64181,0.39966,4.2288,0.8211,-0.50337,1.8526,-0.62923,0.76955,-1.6947,0.54175
1,-0.66,0.35773,4.345,0.4966,-0.63445,1.5341,-0.56746,0.88226,-1.2913,0.74317
0,-0.72032,0.23169,4.2786,0.49997,-0.4159,1.5006,-0.61196,1.0328,-1.4605,0.87113
1,-0.64586,0.2776,4.2853,0.48707,-0.52144,1.6848,-0.62217,0.7998,-1.4064,0.72384
1,-0.66601,0.42264,4.3004,0.55897,-0.62358,1.5216,-0.80882,1.1035,-1.3962,0.72495
0,-0.6707,0.58273,4.3506,0.256,-0.64908,1.6665,-0.73498,0.72328,-1.5606,0.83916
0,-0.94694,0.57884,4.2487,0.57914,-0.58852,1.4402,-0.55708,1.0328,-1.1277,0.81957
0,-0.79542,0.32253,4.2096,0.43419,-0.52639,1.6393,-0.59376,1.0087,-1.2433,0.84933
0,-0.59754,0.27977,4.3471,0.47656,-0.60343,1.534,-0.58027,0.92115,-1.4022,0.78065
1,-0.80526,0.1934,4.2191,0.539,-0.36609,1.8362,-0.52904,0.71873,-1.6028,0.62102
1,-0.85051,0.0052436,4.2841,0.55016,-0.14951,1.6179,0.29843,0.75675,-0.74257,0.63206
0,-0.50454,0.15318,4.3894,0.30516,-0.63637,1.1687,-0.55966,1.2411,-1.5297,1.2677
0,-0.23826,0.28931,4.5927,0.3515,-0.58225,1.5049,-0.76216,0.78525,-1.6299,0.6255
0,-0.62268,0.39307,4.3105,0.37053,-0.54218,1.5101,-0.39769,1.191,-1.2613,0.95499
1,-0.72507,0.48259,4.3464,0.43513,-0.58124,1.6428,-0.51498,0.98143,-1.2181,0.58779
0,-0.79855,0.31099,4.3132,0.45987,-0.75379,1.6056,-0.60847,1.0071,-1.2266,0.58423
0,-0.59145,0.35063,4.324,0.56263,-0.72072,1.6483,-0.3634,0.85076,-1.2841,0.73734
1,-0.81616,0.29082,4.2687,0.5621,-0.55653,1.5197,-0.40124,0.9632,-1.4572,0.88823
0,-0.73658,0.47503,4.015,0.55959,-0.61358,1.9269,-1.1104,0.74253,-0.92616,0.6966
0,-0.6682,0.57741,4.3287,0.58565,-0.50972,1.8557,-0.402,1.2731,-1.4973,0.34493
0,-0.61496,0.60128,4.4678,0.64402,-0.59293,1.197,-0.64228,1.1953,-1.3604,0.75425
0,-0.74037,0.27755,4.4065,0.59443,-0.69678,1.3991,-0.59052,0.96604,-1.4164,0.58559
0,-0.94048,0.32944,4.2817,0.50534,-0.54718,1.4406,-0.47683,1.0516,-1.1852,0.80633
0,-0.61585,0.11178,4.3992,0.47137,-0.49618,1.4693,-0.62345,1.0933,-1.5784,0.65664
0,-0.47523,0.35149,4.284,0.59749,-0.44301,1.5606,-0.48889,0.61728,-1.3996,1.0387
0,-0.78987,0.5721,4.4859,0.77185,-0.74537,1.0605,-0.59778,1.2175,-1.3685,0.64034
0,-0.68384,0.28666,4.3723,0.55579,-0.77762,1.4446,-0.6434,0.98724,-1.4132,0.66372
0,-0.7358,0.59399,4.3612,0.21386,-0.66351,1.6219,-0.78972,0.75561,-1.6451,0.83588
0,-0.62308,0.022919,4.4255,0.41504,-0.83748,1.5192,-0.70498,0.82577,-1.4867,0.55039
0,-0.83057,0.3669,4.2687,0.55331,-0.55146,1.7102,-0.55434,0.75201,-1.3146,0.64632
