SampleID,Kendall tau,Kendall tau p,Mann Whitney,Mann Whitney p,Wilcoxon,Wilcoxon p,Kruskal,Kruskal p
train11663,-0.20892259271172373,1.3595534975084381e-44,1980243.5,0.25798055639412654,995727.5,0.60759227099923097,0.42197684874357455,0.51595227982920755
train14863,0.034229420892357906,0.24600760325026516,112566.0,1.4992114562421407e-05,58259.0,0.00028208596148532691,17.419712653040481,2.9970164176623057e-05
train5833,0.094327383817036675,0.0010942839391108628,139412.5,0.20170028143302277,69669.5,0.24163457284880152,0.69833107078780465,0.40334504748850086
train14069,-0.20451084858274018,3.3989068266758668e-80,6764226.0,5.7854675219965452e-09,3087289.5,1.6163681646608878e-34,32.557699560089283,1.1570583314380127e-08
train7652,-0.43568653598158091,0.0,13963886.0,3.0128594536699611e-12,6941569.0,7.0115733397333471e-18,47.321234345708739,6.0255918187927913e-12
train7681,0.02270342542008881,0.069178805448675385,3999448.0,0.14911968884742932,1979195.0,0.02699104213835395,1.0820668781184914,0.29823564101641475
train9394,-0.0042419127143389331,0.760073084345535,2553939.0,0.0089146899916273219,1285234.0,0.0089043952592371169,5.6128888001273864,0.017828847201167813
train298,0.28959953090373747,6.0521046813628821e-48,541125.0,3.7950862340545339e-10,294282.0,0.00053479328006618226,37.863136883742456,7.5885659805787479e-10
train7098,0.07205952818786697,0.00056501242604328392,499341.0,0.050261698323322404,235624.5,1.7198113153413187e-05,2.6973431432296233,0.10051562284353693
train16095,-0.0031197583099049986,0.94095424009632123,29972.0,0.08020463985694487,15400.5,0.23333765229220771,1.971225747478381,0.1603178158785028
train3276,0.11682923886408692,1.751506168017808e-05,5056.0,8.191799305856936e-200,0.0,2.4051018925870744e-103,908.18137910709402,1.6341657917436191e-199
train11533,-0.0066121130480544243,0.74033666316559144,459474.5,1.0350884871011923e-28,255333.0,2.59237295530433e-14,122.21680985061795,2.069416801093656e-28
train6095,0.14753638947648096,1.6115802733871188e-38,5796518.5,0.056661263656663699,2880922.5,0.008032943567508978,2.5072831432307048,0.11332114660795038
train3418,0.19974688204853827,7.4416226704059741e-12,786.0,8.0668590426494245e-181,0.0,1.5063158733027517e-118,820.81564500704042,1.608559412288013e-180
train3814,-0.016170532126651718,0.16201022672813303,5390768.0,0.033324130073716131,2717137.0,0.080930790118827242,3.3637211033186367,0.066647312921429488
train16035,0.011413733472066302,0.18342145752877692,17710933.0,0.002483478780182419,8865719.0,0.00040214656732315052,7.8914448241139672,0.0049669171218959147
train300,0.63331343322459355,0.0,14706471.0,0.0,12385385.0,1.4130151428320048e-12,2202.7004802798065,0.0
train14485,0.0020909213557660615,0.78600577783484482,23367411.0,6.0710011515105969e-72,12745973.5,1.8487825430197077e-29,320.35178227632196,1.2141590303455895e-71
train7386,0.13369229846696185,1.2403433734367374e-11,597016.5,0.00010891439380662664,292555.5,6.001730027048881e-07,13.670915921988138,0.00021780167905610223
train4049,-0.12565338792359088,1.4085428707342925e-32,7786767.5,0.095310664093463615,3901387.5,0.11457454802348428,1.7128217915644361,0.19061966641498806
train4711,0.006487775121338725,0.70628985766992392,661159.0,1.4555631546508626e-86,404894.0,6.63582144831165e-34,387.49197900603116,2.9099191883908375e-86
train8298,0.00678162200736136,0.57322464685303243,3420032.5,1.3448731116302337e-77,1913598.0,6.3519189056579448e-37,346.31481443303835,2.6893848421789633e-77
train14737,-0.004827697939817157,0.63173633078217373,9592863.5,0.44342142773487664,4791243.0,0.7278063938865782,0.020250559600813133,0.88683952307427449
train9,0.43126232153816457,0.0,28000489.5,0.28972239760622215,13842595.0,0.017787873805818005,0.30713516648098643,0.57944350542424972
train15701,-0.22207479131280333,4.8158092061300592e-77,4400273.0,1.3274926860461671e-10,2235552.5,3.5912399598348927e-10,39.913320866364202,2.6548643359462828e-10
train6331,0.0032655399719546709,0.91059381231140502,115137.0,3.0659255233710872e-07,58962.5,3.8861567470505798e-06,24.871347161544797,6.1286597908539864e-07
train15404,-0.73415171865148376,1.5337769036736426e-182,213915.0,0.0010084249530820325,107766.0,0.00083231328713682115,9.5345559227220367,0.0020163895560353071
train11989,0.10136521209357234,1.3373080504772871e-16,3566248.0,5.8738125804308076e-37,2174404.0,0.40961191804388086,159.9255833856607,1.1746473230614142e-36
train12562,0.53612260357933395,1.782153125076527e-94,205336.0,0.02928943234853712,100896.5,0.0040294052136603644,3.5774426206270125,0.058569252748556649
train3363,0.29759447727823107,3.8765016659105121e-45,482696.0,0.078302843084492021,248093.0,0.57310425012477628,2.0068092381962503,0.1565943662307657
train964,0.42023076188421543,1.5298876879730181e-48,48327.0,2.8898387895094743e-90,37563.0,1.3916264983361174e-28,404.50156036296778,5.7678647768458746e-90
train12729,-0.034832889473252575,0.010167981882696665,2873678.0,0.099014951635366499,1369121.0,1.0405033435770645e-06,1.6568713822476007,0.19802627350371438
train13911,0.11374530022866947,1.4066934156200971e-11,1207797.5,0.13738550726226262,606763.5,0.25974260956125805,1.1928154559991628,0.27476238024899724
train12005,-0.18108164800181664,1.6078024995688242e-50,4587416.0,0.44644769715809335,2295770.5,0.89339419849650914,0.018130304126892576,0.89288954203648074
train2475,-0.17430223834317524,1.0266466415915822e-107,25100632.0,0.20264500434198346,12288077.5,9.4467080840848083e-05,0.69257809542841209,0.40528885679937088
train11697,-0.0058780738182159517,0.59236129791561065,6357308.5,3.0144274195619868e-07,3206238.0,1.1279457152169764e-07,24.903054308727633,6.0286834655361854e-07
train7439,-0.18640645690860708,2.6580094599160094e-14,270416.5,0.19643225138610454,127181.0,0.0010263204069406904,0.73016054308655076,0.39283115518150624
train13217,-0.0019949408850495572,0.93033529990171271,217678.0,3.3582721996507619e-50,134574.0,5.7579437317085632e-19,220.59397102982578,6.7115702522812012e-50
train10542,0.20026245459497838,3.786388270505881e-146,26899313.0,0.3511186414404131,12620843.5,2.8207937058861311e-16,0.14615641349601943,0.70223582493372394
train2550,0.25724466262481627,1.6098191119333841e-06,11165.0,0.05244777418879653,5973.0,0.34642142007756271,2.6314854947885715,0.10476365533200761
